,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
0,0,1 Second,EN,"Action,Supernatural",Chap 23,Manhwa,Publishing,"Gwang-un(Art),Sini","Mar14,2019to?",,2085
1,1,1518!,EN/JA,"School,Seinen",Chap 13,Manga,Finished,"Aida,Yuu","Aug11,2014toMar11,2019",,1325
2,2,20 Seiki Shounen: Ujiko Ujio Sakuhinshuu,FR,"Comedy,Mystery,Ecchi",Chap 8,Manga,Finished,"Urasawa,Naoki","Jan1,2009to?",6.68,1489
3,3,3x3 Eyes: Kiseki no Yami no Keiyakusha,JA,"Action,Fantasy,Supernatural",Chap 48.5,Manga,Publishing,"Takada,Yuuzo","Dec22,2016to?",,556
4,4,47 Taisen,JA,"Action,Fantasy",Chap 14,Manga,Publishing,Hifumi,"Sep7,2016to?",,453
5,5,Adabana,JA,"Mystery,Drama,Psychological",Chap 28,Manga,Publishing,NON(Story&Art),"Mar18,2020to?",7.27,2206
6,6,Adamas,EN,"Action,Drama,Supernatural",Chap 2,Manga,Finished,"Oka,Eri(Story),Minagawa,Ryouji","Mar27,2007toAug26,2014",,567
7,7,Afterschool War Activities,EN,"Action,Drama,School",Chap 51,Manhwa,Finished,"Ha,Il-Kwon","Nov17,2012toDec14,2013",7.97,2242
8,8,AI no Idenshi: Red Queen,JA,"Drama,Sci-Fi,Shounen",Chap 20,Manga,Finished,"Yamada,Kyuuri","Oct12,2017toJun12,2019",,515
9,9,Aibou no Jouken,EN,Yaoi,Chap 5.5,Manga,Finished,"Minase,Masara","Jan1,2010to?",6.57,1517
10,10,Aisaresugi Confusion,EN,Yaoi,Chap 4,Manga,Finished,"Hidaka,Haru","Jul24,2013toMar24,2014",6.84,2142
11,11,Akuma no Youna Anata,JA,"Historical,Romance,Shoujo",Vol 4,Manga,Finished,"Matsuda,Shinobu(Story),Kagami,Eri","Aug1,2011toAug1,2013",,458
12,12,"Akuyaku Reijou desu ga, Shiawase ni Natte Misemasu wa!: Anthology Comic",JA,"Drama,Fantasy,Romance",Vol 8,Manga,Publishing,"Yamashiro,Umeta(Art),Ohitsuji,Ei(Art),Sorakura,Shikiji(Art),Yoshimura(Story&Art),Hoshino,Soumei,Kuroe,Yui,Izumi,Kyouka","Sep25,2019to?",7.31,639
13,13,"Ani ga Kareshi de, Gomen",EN,"Comedy,Romance,Shoujo",Chap 13,Manga,Publishing,"Hosobori,Yukari","Jun20,2020to?",,534
14,14,Anti Romance,EN,Yaoi,Chap 8,Manga,Publishing,"Hidaka,Shoko","Nov21,2015to?",7.09,1177
15,15,Ao Haru Ride,FR,"Comedy,Drama,Romance",Chap 49,LightNovel,Finished,"Abe,Akiko(Story),Sakisaka,Io","Dec27,2011toJun2,2015",8.19,6314
16,16,Asuko March!: Kenritsu Asuka Kougyou Koukou Koushinkyoku,JA,"Comedy,Drama,Romance",Chap 22.5,Manga,Finished,"Akiyama,Kaori","Apr15,2010toAug15,2011",,487
17,17,Banjou no Polaris,FR,Shounen,Chap 14.1,Manga,Finished,"Kiguchi,Minori(Story),Wakamatsu,Takahiro","Jan6,2015toMar5,2016",,283
18,18,Beware of the Brothers!,EN,"Drama,Fantasy,Romance",Chap 98,Manhwa,Publishing,Plutus,"Jan31,2020to?",,4582
19,19,Black Out,EN/JA,"Mystery,Shounen,Sports",Chap 47,Manga,Finished,"Kisaragi,Ryu(Story),Asaki,Masashi","Mar3,2010toOct20,2010",,1536
20,20,Bokura no Yoake,EN,"Drama,Sci-Fi,Seinen",Chap 10.2,Manga,Finished,"Imai,Tetsuya","Jan25,2011toOct25,2011",,297
21,21,Break-Age,EN/JA,"Mecha,Romance,Sci-Fi",Chap 55.2,Manga,Finished,"Batow,Zhiemay(Story&Art)","Oct1,1992toFeb12,1999",,809
22,22,Change!,JA,"Music,Shounen",Chap 27,Manga,Publishing,"Soda,Masahito","Nov6,2017to?",,253
23,23,Chicano Kei: Beikoku Gokuaku Keimusho wo Ikinuita Nihonjin,JA,"Action,Seinen",Chap 60,Manga,Publishing,"Kei(Story),Masashi(Art)","Sep6,2016to?",,1352
24,24,Chiruran: Shinsengumi Requiem,JA,"Action,Historical,Seinen",Chap 114,Manga,Publishing,"Hashimoto,Eiji(Art),Umemura,Shinya","Oct25,2010to?",6.95,8583
25,25,Chocotan!,JA,"Romance,Shoujo",Vol 13,Manga,Publishing,"Takeuchi,Kozue","Oct3,2011toDec1,2017",,301
26,26,Christie: London Massive,JA,"Mystery,Seinen",Vol 5,Manga,Finished,"Shintani,Kaoru","Nov5,2011toMay2,2017",,125
27,27,Clover,EN,"Action,Comedy,Shounen",Chap 281,Manga,Finished,"Hirakawa,Tetsuhiro(Story&Art)","Apr5,2007toOct15,2015",7.85,9954
28,28,Count Over,EN,"Action,Shounen",Chap 1,One-shot,Finished,"Shindou,Masaoki(Story&Art)","May21,2018to?",6.87,1505
29,29,Crash!,JA,"Comedy,Music,Romance",Vol 16,Manga,Finished,"Fujiwara,Yuka(Story&Art)","Apr3,2007toNov2,2013",7.46,282
30,30,Croket!: Black Label,JA,"Action,Adventure,Fantasy",Chap 10,Manga,Publishing,"Kashimoto,Manabu","Dec15,2017to?",,931
31,31,Dai Koushien,JA,"School,Shounen,Sports",Vol 26,Manga,Finished,"Mizushima,Shinji","Mar23,1983toAug7,1987",,685
32,32,Dear Boys Act 4,JA,"Shounen,Sports",Chap 27,Manga,Publishing,"Yagami,Hiroki","Oct6,2018to?",,1316
33,33,Dokaben,JA,"School,Shounen,Sports",Vol 48,Manga,Finished,"Mizushima,Shinji(Story&Art)","Mar30,1972toMar26,1981",,2629
34,34,Dokaben: Dream Tournament-hen,JA,"School,Shounen,Sports",Vol 29,Manga,Finished,"Mizushima,Shinji","Mar29,2012toJun28,2018",,364
35,35,Dokaben: Pro Yakyuu-hen,JA,"School,Shounen,Sports",Vol 52,Manga,Finished,"Mizushima,Shinji","Mar23,1995toDec25,2003",,1378
36,36,Dokaben: Super Stars-hen,JA,"School,Shounen,Sports",Vol 45,Manga,Finished,"Mizushima,Shinji","Jan8,2004toMar22,2012",,539
37,37,Dokgo,EN,"Action,Drama,School",Chap 90,Manhwa,Finished,"Baek,SeungHoon(Art),Meen(Story)","Dec7,2012toFeb7,2014",7.87,4175
38,38,Dokgo 2,EN,"Action,Drama,School",Chap 100,Manhwa,Finished,"Baek,SeungHoon,Meen","Dec10,2016toOct14,2018",7.51,1667
39,39,Dokgo Rewind,EN,"Action,Drama,School",Chap 272,Manhwa,Finished,"Baek,SeungHoon,Meen","Mar7,2014toDec25,2015",7.82,1740
40,40,Doukyonin ga Fuantei deshite,JA,"Comedy,Shounen,SliceofLife",Chap 7,Manga,Finished,"Takada,Fumiko(Story&Art)","Mar26,2015toDec27,2017",,131
41,41,Elite Yankee Saburou,JA,"Comedy,School,Seinen",Chap 249,Manga,Finished,"Abe,Shuuji","Feb21,2000toMay16,2005",,1460
42,42,Ethicae no Jikan,JA,"Sci-Fi,Psychological,Seinen",Chap 39,Manga,Publishing,"Tamai,Yukio","Aug13,2019to?",,131
43,43,Gekijouban Sword Art Online: Ordinal Scale,EN,"Action,Game",Chap 17.6,Manga,Publishing,"IsII(Art),Kawahara,Reki","Apr27,2017toApr17,2020",7.93,2671
44,44,Gekkakoku Kiiden,EN,"Fantasy,Historical,Romance",Chap 4.5,Manga,Publishing,"Himuka,Tohru","Jan24,2018to?",,203
45,45,Gokusen Kanketsu-hen,JA,"Action,Comedy,Drama",Chap 6,Manga,Finished,"Morimoto,Kozueko","Dec28,2007toAug1,2009",7.78,310
46,46,Hacks!,JA,"School,Seinen",Chap 24,Manga,Finished,"Imai,Tetsuya","May24,2008toApr24,2010",,84
47,47,Hero Kojin Sakuhinshuu,JA,Shounen,Chap 4,Manga,Publishing,HERO,"Jan1,2010to?",,132
48,48,Ice Age,JA,"Drama,School,Josei",Chap 55,Manga,Finished,"Monden,Akiko","Jan1,2003toJan1,2008",,299
49,49,Iki Dekinai no wa Kimi no Sei,EN,"Comedy,Music,ShounenAi",Chap 10,Manga,Finished,"Sumiya,Zeniko","Sep29,2020toJan5,2021",,2399
50,50,Ippo,JA,"Drama,SliceofLife,Seinen",Chap 30,Manga,Finished,estem,"Oct27,2012toDec28,2016",7.35,259
51,51,"Isekai kara Seijo ga Kuru You nanode, Jamamono wa Kieyou to Omoimasu",JA,"Comedy,Fantasy,Romance",Chap 35,Manga,Publishing,"Kasui(Art),Hasumi,Ryou(Story)","Nov27,2020to?",,677
52,52,Itaewon Class,EN,Drama,Chap 79,Manhwa,Finished,KwangJin(Story&Art),"Dec27,2016toMay22,2018",,2507
53,53,Jungle Makyou,EN,Adventure,Vol 1,Manga,Finished,"Tezuka,Osamu","Mar20,1948to?",,75
54,54,Junkyouju Takatsuki Akira no Suisatsu,EN,"Mystery,Josei",Chap 4.2,Manga,Publishing,"Sawamura,Mikage(Story),Aio,Touji(Art)","Aug12,2020to?",,116
55,55,Kaitai Shinsho Ø,EN,"Action,Adventure,Fantasy",Chap 69,Manga,Finished,"Kenmotsu,Chiyo(Story&Art)","Mar3,2010toNov11,2011",7.36,953
56,56,Kakeochi Girl,EN,"Drama,Romance,ShoujoAi",Chap 16.5,Manga,Finished,Battan(Story&Art),"Oct26,2018toFeb25,2020",7.8,1148
57,57,Kakko Kawaii Sengen!,JA,"Comedy,Shounen",Vol 5,Manga,Finished,JigokunoMisawa(Story&Art),"Jan4,2010toMar4,2014",,184
58,58,Kanojo no Kare,JA,"Horror,Shoujo",Chap 25,One-shot,Finished,"Maeda,Tomo","Oct28,2011to?",5.81,111
59,59,Kantai Collection -Kan Colle- Anthology Comic: Yokosuka Chinjufu-hen,JA,"Comedy,Military,Seinen",Vol 22,Manga,Publishing,"Weshica/Shougo,Bakutendou,Aoi,Manabu,Kanzaki,Karuna,Imada,Hideshi,Momoi,Ryouta,Hoppege","Sep14,2013to?",,200
60,60,Kasane,JA,"Drama,Horror,Supernatural",Chap 126,Manga,Finished,"Tanabe,Gou","Jun12,2006toOct12,2007",,1173
61,61,Kawashima Yoshiko wa Otoko ni Naritai,JA,"Action,Adventure,Historical",Chap 14,Manga,Publishing,"Tanaka,Hosana","Oct26,2019toDec26,2020",,294
62,62,Kidou Senshi Gundam MSV Senki: Johnny Ridden,EN,"Action,Mecha,Sci-Fi",Chap 3,Manga,Finished,"Yatate,Hajime,Tomino,Yoshiyuki,Hasegawa,Yuuichi","Oct5,2006toOct15,2007",,196
63,63,Kingdom Hearts III,EN/JA,"Action,Adventure,Comedy",Chap 36,Manga,Publishing,"Amano,Shiro,Nomura,Tetsuya","Apr29,2019to?",,569
64,64,Kino no Tabi: The Beautiful World,EN/JA,"Adventure,Mystery,Fantasy",Chap 55,Manga,Finished,"Gou(Art),Sigsawa,Keiichi","May27,2017toDec26,2019",7.48,1760
65,65,Kiritani-san Cho! Sore Kuunsuka!?,JA,Comedy,Chap 55,Manga,Publishing,Pontogotanda(Story&Art),"Dec25,2015to?",,287
66,66,"Kiss wa, Genkou no Ato de",JA,"Comedy,Drama,Romance",Chap 16,Manga,Publishing,"Yukimori,Sakura","Aug6,2019to?",,379
67,67,Koisuru Fukurahagi,EN/JA,"Comedy,Romance,Shounen",Chap 16,Manga,Publishing,"Yoshitani,Kouhei","Feb15,2018toApr4,2021",,585
68,68,Kore wa Koi desu,JA,"Comedy,Romance,School",Chap 45,Manga,Finished,"Yuuchi,Yayomi","Jan1,2008toJan1,2013",,333
69,69,Koukyuu no Musubibito,EN,"Mystery,Historical",Chap 11,Manga,Publishing,"Kajika,You(Art),Kobayakawa,Mahiro(Story)","Jan4,2021to?",,177
70,70,Kure-nai,JA,"Action,Drama,MartialArts",Chap 51.2,Manga,Finished,"Katayama,Kentarou,Yamamoto,Yamato,Furuya,Daisuke","Nov2,2007toJun4,2012",7.52,811
71,71,Kurogane Kai,JA,"Action,Drama,Historical",Chap 14,Manga,Finished,"Toume,Kei","Nov2,2016toOct21,2020",,439
72,72,Lasboss x Hero,EN/JA,"Action,Adventure,Comedy",Chap 19,Manga,Finished,Kuzushiro,"Oct25,2012toApr25,2014",7.12,759
73,73,Lawless Kid,EN,"Action,Shounen",Chap 1,One-shot,Finished,"Sano,Yuuto","Apr22,2019to?",6.97,2282
74,74,Let's☆Lagoon,EN,"Mystery,Drama,Ecchi",Chap 66.5,Manga,Finished,"Okazaki,Takeshi(Story&Art)","Oct22,2007toNov20,2018",7.23,1724
75,75,Linen to Gauze,JA,"Shoujo,SliceofLife",Chap 4.2,Manga,Finished,"Aizawa,Haruka","Jul26,2007toJan26,2012",,109
76,76,Majimoji Rurumo: Makai-hen,JA,"Action,Adventure,Fantasy",Chap 24,Manga,Finished,"Watanabe,Wataru","Feb26,2011toJan26,2013",,577
77,77,"Mamono wo Shitagaeru ""Teiin"" wo Motsu Tensei Kenja: Katsute no Mahou to Juuma de Hissori Saikyou no Boukensha ni Naru",EN,"Adventure,Fantasy",Chap 30,Manga,Publishing,"Naehara,Hajime","Oct21,2019to?",,1327
78,78,Marry Grave,FR/JA,"Fantasy,Shounen",Chap 52,Manga,Finished,"Yamaji,Hidenori(Story&Art)","Dec13,2017toJan16,2019",7.55,575
79,79,Masuda Kousuke Gekijou: Gag Mangabiyori GB,JA,"Comedy,Parody,Shounen",Chap 136.5,Manga,Publishing,"Masuda,Kousuke","Jan1,2014to?",,837
80,80,Messiah: Code Edge,EN,"Action,Comedy,Drama",Chap 10,Manga,Publishing,"Takadono,Madoka,Minazuki,Akira","Dec16,2017to?",,103
81,81,Mida Love♪,JA,"Ecchi,Romance,Shounen",Chap 22,Manga,Publishing,"Hayashi,Tetsuya(Story&Art)","May27,2016to?",6.77,4892
82,82,Mikazuki Mao wa ♂♀ wo Erabenai,EN,"Comedy,Romance,School",Chap 9,Manga,Publishing,"Nishino,Kiina","Apr24,2020to?",,1771
83,83,Motoyan Papa to Hitsuji-sensei: Yotsuba,EN,"Yaoi,SliceofLife",Chap 13,Manga,Publishing,"Mizuki,Tama","Aug3,2018to?",,3296
84,84,Muhoutou,JA,"Action,Adventure,Psychological",Chap 54,Manga,Publishing,"Mori,Kouji","Feb8,2019to?",,344
85,85,Mushi to Uta,EN,"Drama,Seinen",Chap 8,Manga,Finished,"Ichikawa,Haruko","Aug25,2006toOct24,2009",7.14,384
86,86,Nanatsuya: Shinobu no Housekibako,EN/JA,"Romance,SliceofLife,Josei",Chap 64,Manga,Publishing,"Ninomiya,Tomoko","Nov25,2013to?",,1929
87,87,Nazotoki yori mo Taihen da,JA,"Comedy,Ecchi,School",Chap 26,Manga,Publishing,"Endou,Jun(Story&Art)","Mar22,2021to?",,487
88,88,Nyaight of the Living Cat,EN,"Action,Horror,Shounen",Chap 12.3,Manga,Publishing,"Hawkman(Story),Tsurukame(Art)","Oct5,2020to?",,491
89,89,Nyx no Lantern,EN/JA,"Historical,Romance,SliceofLife",Chap 4,Manga,Finished,"Takahama,Kan","Mar27,2015toJun27,2019",,136
90,90,"Obaka-chan, Koigatariki",JA,"Romance,School,Shoujo",Vol 7,Manga,Finished,"Sato,Zakuri(Story&Art)","Jan1,2008toOct5,2010",7.58,160
91,91,Ojousama wa Oyome-sama,JA,"Drama,Romance,Shoujo",Vol 18,Manga,Finished,"Hazuki,Megumi(Story&Art)","Jul20,2007toMar5,2013",7.6,255
92,92,Oniisan no Hikkoshi no Katazuke ga Susumanai,EN,"Comedy,Ecchi,Romance",Chap 14,Manga,Publishing,"Yoshibe,Akuro","Nov22,2017to?",6.31,3130
93,93,Ooi! Ryouma,JA,"Seinen,Historical",Chap 108,Manga,Finished,"Koyama,Yuu","Jan9,1987toMay9,1996",,620
94,94,Ousama Game,EN,"Drama,Horror,School",Chap 25,Manga,Finished,"Renda,Hitori,Kanazawa,Nobuaki","Jan1,2010toJan1,2012",6.49,2950
95,95,Ousama no Shitateya: Sarto Finito,JA,"Drama,Seinen",Chap 201,Manga,Finished,"Ookawara,Ton(Story&Art)","Jun25,2003toOct12,2011",,800
96,96,Ousama no Shitateya: Sartoria Napoletana,JA,"Drama,Seinen",Chap 85.5,Manga,Finished,"Ookawara,Ton","Dec21,2011toFeb17,2016",,304
97,97,P2 - Let's Play Ping Pong!,JA,"Shounen,Sports",Chap 58.2,Manga,Finished,"Eijiri,Tatsuma","Sep25,2006toFeb8,2008",6.97,315
98,98,Penguin☆Brothers,JA,"Comedy,Drama,Romance",Vol 5,Manga,Finished,"Shiina,Ayumi(Story&Art)","Dec28,1999toNov2,2001",7.68,110
99,99,Play Ball,JA,"School,Shounen,Sports",Chap 129,Manga,Finished,"Chiba,Akio(Story&Art)","Jun5,1973toJul18,1978",,494
100,100,Pokemon the Movie XY&Z: Volcanion to Karakuri no Magiana,EN,"Adventure,Fantasy,Kids",Vol 1,Manga,Finished,"Kawamoto,Kemon(Art)","Mar15,2016toJul15,2016",6.58,845
101,101,Pokémon the Movie XY: Ring no Choumajin Hoopa,EN,"Adventure,Fantasy,Shounen",Vol 1,Manga,Finished,"Kamimura,Gin(Story&Art)","Apr15,2015toJun15,2015",,1095
102,102,Rakuraku Shinwa,JA,"Shounen,Supernatural",Chap 17,Manga,Finished,"Tsubaki,Tarou(Story&Art)","Apr5,2017toAug2,2017",,208
103,103,Real Clothes,JA,"Drama,Romance,Josei",Chap 102.5,Manga,Finished,"Makimura,Satoru","Nov15,2006toOct1,2011",7.49,710
104,104,Rengoku Game,JA,"Mystery,Horror,Psychological",Chap 52,Manga,Finished,"Kitano,Hiromu(Art),Ezaki,Sugoroku(Story),Fukuhara,Renji","Jan9,2015toSep23,2016",,797
105,105,Rose Guns Days: Aishuu no Cross Knife,EN,"Action,Adventure,Seinen",Chap 5,Manga,Finished,"Ryukishi07,Takaki,Tsuyoshi","Dec25,2012toOct25,2013",,132
106,106,Ryou,JA,"Adventure,Historical,Shoujo",Chap 91,Manga,Finished,"Ueda,Rinko","Jan1,1995toJan1,1999",7.54,204
107,107,Sabageppanashi,JA,"Action,Comedy,Military",Chap 19,Manga,Publishing,"Sakazaki,Freddie(Story&Art)","Sep17,2016to?",,43
108,108,Saiyuu Youenden,JA,"Adventure,Historical,Supernatural",Chap 102.2,Manga,Finished,"Morohoshi,Daijirou","May6,1983toJul14,1997",,475
109,109,Saudade,JA,"Drama,Romance,SliceofLife",Chap 5.5,Manga,Finished,"Ikebe,Aoi","Mar10,2010toJan25,2012",,94
110,110,Seibetsu X,EN,"Romance,SliceofLife,Seinen",Chap 13,Manga,Publishing,"Miyazaki,Asuka","Jun5,2020to?",,269
111,111,"Seijo ni Naru node Nidome no Jinsei wa Katteni Sasete Moraimasu: Outaishi wa, Zense de Watashi wo Futta Koibito Deshita",JA,"Fantasy,Romance",Chap 20,Manga,Publishing,"Niiyama,Saho(Story),Kogomori,Nue(Art)","Nov30,2018to?",6.72,124
112,112,Shin Mahouka Koukou no Rettousei: Cygnus no Otome-tachi,JA,"Action,Magic,School",Chap 8,Manga,Publishing,"Satou,Tsutomu,La-na","Mar27,2021to?",,568
113,113,Shirokuma Café,EN/JA,"Comedy,SliceofLife,Josei",Chap 56,Manga,Finished,"Higa,Aloha(Story&Art)","Feb28,2006toApr27,2013",7.37,4908
114,114,SINoALICE,EN,"Action,Drama,Fantasy",Chap 23,Manga,Publishing,"Aoki,Tact(Story),Himiko(Art),Yoko,Taro","Jun6,2019to?",,218
115,115,Siren,JA,"Police,Psychological,Seinen",Chap 74,Manga,Finished,"Yamazaki,Sayaka","Apr25,2013toJan8,2015",,1017
116,116,Soukon no Shoujo to Sourei no Tabi,EN/JA,"Adventure,Fantasy,Supernatural",Chap 5,Manga,Publishing,Rona(Story&Art),"Jun24,2018to?",6.88,204
117,117,Soukyuu no Shihaisha: Konoyo no Hanbun wo Shihai suru! Hazure Cheat de Isekai wo Sukue!!,EN,"Ecchi,Fantasy,Shounen",Chap 12,Manga,Publishing,"Akai,Maruboro","May2,2020to?",,5289
118,118,Suuji de Asobo,JA,"Comedy,School,SliceofLife",Chap 34,Manga,Publishing,"Kinuta,Murako","Jun28,2018to?",,394
119,119,Synchro Onchi!,JA,"Comedy,Drama,Romance",Chap 25,Manga,Finished,Kira,"May15,2002toJan1,2009",,130
120,120,Teni Muhou: Musashibou Benkei,JA,"Action,Historical,SuperPower",Chap 32,Manga,Finished,"Gibon(Story),Takemura,Yuuji","Dec28,2012toJun1,2017",,166
121,121,Tensei shitara Party ga Otokonoko darake Datta kedo Danjite Ore wa Shotacon ja Nai!,EN,"Comedy,Fantasy,ShounenAi",Chap 17,Manga,Publishing,"Marui,Shiro(Story&Art)","Feb9,2019to?",,610
122,122,Tenshi no Tsura no Kawa,JA,"Comedy,Drama,Romance",Vol 5,Manga,Finished,"Ichijo,Yukari","Apr28,1999toDec28,2001",,132
123,123,The Stories of Those Around Me,EN,"Comedy,Romance,SliceofLife",Chap 60,Manhwa,Finished,Omyo(Story&Art),"Apr20,2012toJun6,2013",8.0,355
124,124,Thunderbolt Fantasy: Touriken Yuuki,EN,"Action,Adventure,Fantasy",Chap 34,Manga,Finished,"Sakuma,Yui","Jul21,2016toApr6,2017",7.08,257
125,125,Tiger & Bunny,EN,"Action,Sci-Fi,Seinen",Chap 25,One-shot,Finished,"Nishida,Masafumi(Story),Katsura,Masakazu","Aug4,2011to?",7.0,730
126,126,Tokimeki Midnight,JA,"Romance,Shoujo,Supernatural",Chap 28,Manga,Finished,"Ikeno,Koi",?,,200
127,127,Tokyo Ravens: Sword of Song,JA,"Action,Comedy,School",Chap 21,Manga,Finished,"Azano,Kouhei,Kuze,Ran","Oct4,2013toAug26,2015",,955
128,128,Ume to Momo no Futsuu no Kurashi,EN,"Comedy,SliceofLife",Chap 25,Manga,Publishing,"Fujisawa,Kamiya","Mar13,2020to?",,331
129,129,Umimachi Diary,EN,"Shoujo,SliceofLife,Drama",Chap 8,Manga,Finished,"Yoshida,Akimi","Jun28,2006toSep28,2018",7.57,142
130,130,Under Prin,EN,"Action,Comedy,Demons",Chap 326,Manhwa,Finished,SMBRYMS(Story&Art),"May2,2008toJun17,2015",6.85,1587
131,131,Unkai no Tabibito,JA,"Action,Fantasy,Shounen",Chap 10,Manga,Finished,"Aro,Hiroshi","Jan1,1987toJan1,1995",,99
132,132,Usakame,JA,"Comedy,School,Sports",Chap 12,Manga,Finished,"Kirisawa,Juuzou(Art),Terada,Tsugeo","Sep17,2015toJun30,2016",,98
133,133,Wadaiko†Girls,JA,"Comedy,School,SliceofLife",Chap 12,Manga,Finished,stuhiro,"Jul25,2013toJul25,2014",,52
134,134,Wondance,JA,"Romance,School,Sports",Chap 62,Manga,Publishing,Coffee(Story&Art),"Jan25,2019to?",7.87,990
135,135,Wonder!,EN,"Drama,SliceofLife,Josei",Chap 13.5,Manga,Finished,"Kawa,Akira(Story&Art)","Jun1,2002toDec26,2011",,70
136,136,Yandere Kanojo ni Nemurasete Moraenai Hanashi,EN,"Comedy,Drama,Romance",Chap 35,Manga,Finished,Kusunoki(Story&Art),"Jun23,2021to?",,10175
137,137,Yura-kun no 10% ni wa Himitsu ga Aru,FR,"Romance,School,Shoujo",Chap 12,Manga,Finished,"Yoshida,Mutsumi(Story&Art)","May2,2016toNov19,2016",6.97,368
138,138,Zipang: Shinsou Kairyuu,JA,"Drama,Historical,Seinen",Chap 226,Manga,Finished,"Kawaguchi,Kaiji","Dec6,2012toNov16,2017",,976
139,139,"""Aoi"" When Hikaru was on the earth",EN,"School,Shounen,Supernatural",Chap 15,Manga,Finished,"Nomura,Mizuki,CHuN","Oct20,2011toDec20,2012",7.27,356
140,140,"""How Many People Did I Kill?""",JA,Mystery,Chap 22,Manga,Publishing,,?,,535
141,141,"""Ippon"" again!",EN/JA,"MartialArts,Shounen,SliceofLife",Chap 212,Manga,Publishing,"Muraoka,Yuu","Oct18,2018to?",,2088
142,142,"""I… Don't Want to Work Anymore"" I Quit Being an Adventurer. Even if You Treat Me Better Now, I Won't Do It. I Will NEVER Work Again.",EN/JA,"Adventure,Fantasy",Chap 23,Manga,Publishing,,?,,12084
143,143,"""Kodomo wo Koroshite Kudasai"" to Iu Oya-tachi",JA,"Drama,Seinen",Chap 24.5,Manga,Publishing,"Oshikawa,Takeshi(Story),Suzuki,Masakazu","Feb21,2017to?",,555
144,144,"""Love"" Will be in Full Bloom!",EN,"Comedy,Romance,School",Chap 30,Manga,Publishing,"Sakisaka,Io","Feb13,2021to?",,2896
145,145,"""Nobukuni-san"" Does She Like Me?",EN/JA,"Comedy,Ecchi,Romance",Chap 68,Manga,Publishing,"Yasuda,Kousuke","Sep25,2020to?",,12471
146,146,"""X"" Method In The Dead Of Night",EN/JA,"Mystery,Seinen,Supernatural",Chap 27,Manga,Finished,"Bareisho(Art),Yamaguchi,Mikoto","Apr26,2014toNov26,2016",7.14,1915
147,147,#Blessed,EN,Drama,Chap 80,Manhwa,Publishing,,?,,103
148,148,#Buzz Game,JA,"Action,Shounen",Chap 10,Manga,Publishing,,?,,533
149,149,#DRCL midnight children,EN/JA,"Drama,Horror,Seinen",Chap 58,Manga,Publishing,,?,,5419
150,150,#DRCL Midnight Children,JA,"Historical,Horror,Seinen",Chap 10,Manga,Publishing,"Sakamoto,Shinichi","Jan20,2021to?",7.09,776
151,151,#I'll Looking for Zombie,EN/JA,"Action,Adventure,Comedy",Chap 18,Manga,Publishing,,?,,988
152,152,#Killstagram,EN,"Horror,Josei,Psychological",Chap 43,Manhwa,Publishing,,?,,1001
153,153,#kowareta Chikyuu No Aruki Kata,JA,Action,Chap 17,Manga,Publishing,,?,,139
154,154,'Til Debt Do Us Part,EN,"Comedy,Drama,Josei",Chap 9,Manhwa,Finished,,?,,780
155,155,"'Tis Time for ""Torture,"" Princess",EN/JA,"Comedy,Demons,Fantasy",Chap 242,Manga,Publishing,"Hirakei(Art),Haruhara,Robinson","Apr2,2019to?",7.05,13331
156,156,(Abu)Normal,EN/JA,"Drama,Psychological,Shounen",Chap 39,Manga,Publishing,,?,,954
157,157,"(Um, Sorry) I've Been Reincarnated",EN/JA,"Action,Adventure,Fantasy",Chap 86,Manga,Publishing,,?,,18869
158,158,+99 Reinforced Wooden Stick,EN,"Action,Drama,Fantasy",Chap 107,Manhwa,Publishing,,?,,60142
159,159,+Anima,FR,"Adventure,Fantasy,Shounen",Chap 56,Manga,Publishing,"Mukai,Natsumi(Story&Art)","Dec27,1999toJan27,2005",7.68,176
160,160,/Blush-DC: Hi♥mitsu,EN,"Ecchi,Romance",Chap 35,Manga,Publishing,"Miyazaki,Maya","Mar19,2010to?",6.41,4198
161,161,009 Re:Cyborg,EN/JA,"Action,Sci-Fi,Seinen",Chap 35,Manga,Finished,"Kamiyama,Kenji(Story),Asou,Gatou(Art),Ishinomori,Shoutarou","May25,2012toSep25,2015",6.86,363
162,162,090 - Eko to Issho,FR,"Comedy,Romance,School",Chap 31,Manga,Finished,,?,,85
163,163,1 plus 1,EN,"Romance,SliceofLife",Chap 52,Manhwa,Finished,,?,,7285
164,164,1-nichi Gaishutsuroku Hanchou,EN/JA,"Comedy,Parody,Seinen",Chap 152,Manga,Publishing,"Uehara,Motomu(Art),Arai,Kazuya(Art),Hagiwara,Tensei","Dec26,2016to?",,9284
165,165,1/10 no Hanayome,EN/JA,"Ecchi,Harem",Chap 59.5,Manga,Publishing,Yukino,"Mar15,2019to?",5.77,6178
166,166,1/11,JA,"Shounen,SliceofLife,Sports",Chap 31,Manga,Finished,"Nakamura,Takatoshi(Story&Art)","May19,2010toJun4,2014",7.67,606
167,167,1/6 Sadako In My Home,EN,"Action,Comedy,SliceofLife",Chap 7,Manga,Finished,,?,,1721
168,168,10 Dance,EN,"Drama,Romance,Seinen",Chap 39,Manga,Publishing,"Inoue,Satou(Story&Art)","Dec1,2011to?",8.04,997
