,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
11314,11314,The Villainess Doesn't Know the Prince's True (Doting) Nature,EN,"Comedy,Fantasy,Romance",Chap 13,Manga,Publishing,,?,,2389
11315,11315,The Villainess Falls for the Notorious Noble,EN,"Drama,Fantasy,Romance",Chap 15,Manga,Finished,"Hayama,Minatotsuki(Story),Ibuki,You","Apr29,2020to?",6.96,3550
11316,11316,The Villainess Flips the Script!,EN,"Comedy,Fantasy,Romance",Chap 109,Manhwa,Publishing,,?,,9933
11317,11317,The Villainess Is a Marionette,EN,"Drama,Fantasy,Romance",Chap 98,Manhwa,Publishing,,?,,14772
11318,11318,The Villainess Is Adored By The Crown Prince Of The Neighboring Kingdom,EN/JA,"Fantasy,Romance,Shoujo",Chap 26,Manga,Publishing,"Punichan(Story),Hoshina(Art)","Dec5,2017to?",6.84,882
11319,11319,The Villainess Is Changing Her Role to a BroCon,EN,"Fantasy,Romance",Chap 5,Manga,Publishing,"Cosaji(Art),Hama,Chidori","May21,2021to?",,511
11320,11320,The Villainess Is Me,EN,"Drama,Fantasy,Romance",Chap 17,Manhua,Publishing,,?,,1186
11321,11321,The Villainess is Worshipped by the Family,EN,"Drama,Fantasy,Josei",Chap 20,Manhwa,Publishing,,?,,3980
11322,11322,The Villainess Lives Again,EN,"Drama,Fantasy,Historical",Chap 34,Manhwa,Publishing,,?,,4033
11323,11323,The Villainess Refuses to Flirt With the Male Lead,EN,"Drama,Historical,Romance",Chap 72,Manhua,Publishing,,?,,2373
11324,11324,The Villainess Tames the Beast,EN,"Drama,Fantasy,Josei",Chap 42,Manhwa,Publishing,,?,,8703
11325,11325,The Villainess Turns the Hourglass,EN,"Drama,Fantasy,Historical",Chap 56,Manhwa,Finished,,?,,13749
